1987,"Barrie, Ontario",35568,Apartment structures of six units and over,Bachelor units,v3824449,67.4.1,308
1987,"Barrie, Ontario",35568,Apartment structures of six units and over,One bedroom units,v3824637,67.4.2,442
1988,"Barrie, Ontario",35568,Apartment structures of six units and over,One bedroom units,v3824637,67.4.2,485
1989,"Barrie, Ontario",35568,Apartment structures of six units and over,One bedroom units,v3824637,67.4.2,518
1987,"Barrie, Ontario",35568,Apartment structures of six units and over,Two bedroom units,v3824825,67.4.3,503
1988,"Barrie, Ontario",35568,Apartment structures of six units and over,Two bedroom units,v3824825,67.4.3,562
1989,"Barrie, Ontario",35568,Apartment structures of six units and over,Two bedroom units,v3824825,67.4.3,593
1987,"Barrie, Ontario",35568,Apartment structures of six units and over,Three bedroom units,v3825013,67.4.4,583
1989,"Barrie, Ontario",35568,Apartment structures of six units and over,Three bedroom units,v3825013,67.4.4,715
1987,"Belleville, Ontario",35522,Apartment structures of six units and over,Bachelor units,v3824450,68.4.1,303
1988,"Belleville, Ontario",35522,Apartment structures of six units and over,Bachelor units,v3824450,68.4.1,330
1989,"Belleville, Ontario",35522,Apartment structures of six units and over,Bachelor units,v3824450,68.4.1,356
1987,"Belleville, Ontario",35522,Apartment structures of six units and over,One bedroom units,v3824638,68.4.2,440
1988,"Belleville, Ontario",35522,Apartment structures of six units and over,One bedroom units,v3824638,68.4.2,440
1989,"Belleville, Ontario",35522,Apartment structures of six units and over,One bedroom units,v3824638,68.4.2,465
1987,"Belleville, Ontario",35522,Apartment structures of six units and over,Two bedroom units,v3824826,68.4.3,481
1988,"Belleville, Ontario",35522,Apartment structures of six units and over,Two bedroom units,v3824826,68.4.3,498
1989,"Belleville, Ontario",35522,Apartment structures of six units and over,Two bedroom units,v3824826,68.4.3,519
1987,"Belleville, Ontario",35522,Apartment structures of six units and over,Three bedroom units,v3825014,68.4.4,535
1988,"Belleville, Ontario",35522,Apartment structures of six units and over,Three bedroom units,v3825014,68.4.4,586
1989,"Belleville, Ontario",35522,Apartment structures of six units and over,Three bedroom units,v3825014,68.4.4,625
1987,"Brantford, Ontario",35543,Apartment structures of six units and over,Bachelor units,v3824451,70.4.1,289
1988,"Brantford, Ontario",35543,Apartment structures of six units and over,Bachelor units,v3824451,70.4.1,315
1989,"Brantford, Ontario",35543,Apartment structures of six units and over,Bachelor units,v3824451,70.4.1,293
1987,"Brantford, Ontario",35543,Apartment structures of six units and over,One bedroom units,v3824639,70.4.2,384
1988,"Brantford, Ontario",35543,Apartment structures of six units and over,One bedroom units,v3824639,70.4.2,395
1989,"Brantford, Ontario",35543,Apartment structures of six units and over,One bedroom units,v3824639,70.4.2,419
1987,"Brantford, Ontario",35543,Apartment structures of six units and over,Two bedroom units,v3824827,70.4.3,434
1988,"Brantford, Ontario",35543,Apartment structures of six units and over,Two bedroom units,v3824827,70.4.3,441
1989,"Brantford, Ontario",35543,Apartment structures of six units and over,Two bedroom units,v3824827,70.4.3,472
1987,"Brantford, Ontario",35543,Apartment structures of six units and over,Three bedroom units,v3825015,70.4.4,459
1988,"Brantford, Ontario",35543,Apartment structures of six units and over,Three bedroom units,v3825015,70.4.4,473
1989,"Brantford, Ontario",35543,Apartment structures of six units and over,Three bedroom units,v3825015,70.4.4,562
1987,"Brockville, Ontario",35512,Apartment structures of six units and over,Bachelor units,v3824543,71.4.1,274
1988,"Brockville, Ontario",35512,Apartment structures of six units and over,Bachelor units,v3824543,71.4.1,314
1989,"Brockville, Ontario",35512,Apartment structures of six units and over,Bachelor units,v3824543,71.4.1,313
1987,"Brockville, Ontario",35512,Apartment structures of six units and over,One bedroom units,v3824731,71.4.2,347
1988,"Brockville, Ontario",35512,Apartment structures of six units and over,One bedroom units,v3824731,71.4.2,386
1989,"Brockville, Ontario",35512,Apartment structures of six units and over,One bedroom units,v3824731,71.4.2,399
1987,"Brockville, Ontario",35512,Apartment structures of six units and over,Two bedroom units,v3824919,71.4.3,436
1988,"Brockville, Ontario",35512,Apartment structures of six units and over,Two bedroom units,v3824919,71.4.3,461
1989,"Brockville, Ontario",35512,Apartment structures of six units and over,Two bedroom units,v3824919,71.4.3,473
1987,"Brockville, Ontario",35512,Apartment structures of six units and over,Three bedroom units,v3825107,71.4.4,415
1988,"Brockville, Ontario",35512,Apartment structures of six units and over,Three bedroom units,v3825107,71.4.4,451
1989,"Brockville, Ontario",35512,Apartment structures of six units and over,Three bedroom units,v3825107,71.4.4,463
1987,"Chatham-Kent, Ontario",35556,Apartment structures of six units and over,One bedroom units,v3824641,72.4.2,376
1988,"Chatham-Kent, Ontario",35556,Apartment structures of six units and over,One bedroom units,v3824641,72.4.2,388
1989,"Chatham-Kent, Ontario",35556,Apartment structures of six units and over,One bedroom units,v3824641,72.4.2,408
1987,"Chatham-Kent, Ontario",35556,Apartment structures of six units and over,Two bedroom units,v3824829,72.4.3,454
1988,"Chatham-Kent, Ontario",35556,Apartment structures of six units and over,Two bedroom units,v3824829,72.4.3,468
1989,"Chatham-Kent, Ontario",35556,Apartment structures of six units and over,Two bedroom units,v3824829,72.4.3,490
1988,"Chatham-Kent, Ontario",35556,Apartment structures of six units and over,Three bedroom units,v3825017,72.4.4,667
1989,"Chatham-Kent, Ontario",35556,Apartment structures of six units and over,Three bedroom units,v3825017,72.4.4,655
1989,"Cobourg, Ontario",35527,Apartment structures of six units and over,Bachelor units,v3824547,73.4.1,350
1987,"Cobourg, Ontario",35527,Apartment structures of six units and over,One bedroom units,v3824735,73.4.2,414
1988,"Cobourg, Ontario",35527,Apartment structures of six units and over,One bedroom units,v3824735,73.4.2,431
